USER COMMAND,INSTRUCTIONS,INPUT,XML BEHAVIOR TREE OUTPUT
"while moving forward, constantly check for low battery and return to charging station if battery is low.","Use only the following behaviors to generate XML Behavior tree based on the user command: {move_forward: 'Action node: Move the agent forward.
Returns: Always returns True, indicating the action was executed.', check_battery: 'Condition node: Check if the battery level is below a certain threshold.
Returns: True if battery is low, otherwise False.', return_to_station: 'Action node: Return to charging station.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.","While moving forward, constantly check for low battery and return to charging station if battery is low.","
<BehaviorTree>
<Sequence>
<Action>move_forward</Action>
<Selector>
<Sequence>
<Condition>check_battery</Condition>
<Action>return_to_station</Action>
<Action>move_forward</Action>
</Sequence>
<Action>move_forward</Action>
</Selector>
</Sequence>
</BehaviorTree>"
"follow designated leader robot, but if leader is obstructed, switch to following another robot in the group.","Use only the following behaviors to generate XML Behavior tree based on the user command: {follow_leader: 'Action node: Follow the designated leader robot.
Returns: Always returns True, indicating the action was executed.', check_obstruction: 'Condition node: Check if the designated leader is obstructed.
Returns: True if leader is obstructed, otherwise False.', reassign_leader: 'Action node: Reassign leader to another robot in the group.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.","Follow designated leader robot, but if leader is obstructed, switch to following another robot in the group.","
<BehaviorTree>
<Selector>
<Sequence>
<Condition>check_obstruction</Condition>
<Action>reassign_leader</Action>
<Action>follow_leader</Action>
</Sequence>
<Action>follow_leader</Action>
</Selector>
</BehaviorTree>"
perform a coordinated search and rescue mission with other robots in the swarm.,Use the following behaviors to generate XML Behavior tree based on the user command: take_off: Action node - Initiate the search mission by taking off. search_area: Action node - Search the designated area for the target. detect_target: Condition node - Check if the target has been found. retrieve_target: Action node - Retrieve the target once found. return_to_base: Action node - Return to base with the retrieved target.,Coordinated search and rescue mission with other robots in the swarm.,"
<BehaviorTree>
<Selector>
<Selector>
<Action>take_off</Action>
<Sequence>
<Condition>detect_target</Condition>
<Action>retrieve_target</Action>
<Action>return_to_base</Action>
</Sequence>
</Selector>
<Sequence>
<Action>search_area</Action>
<Action>search_area</Action>
</Sequence>
</Selector>
</BehaviorTree>"
"if oil spill is detected, deploy cleaning mechanism and remain in that location until spill is completely cleaned.",Use the following behaviors to generate XML Behavior tree based on the user command: detect_oil_spill: Condition node - Check if there is an oil spill in the designated area. deploy_mechanism: Action node - Deploy the cleaning mechanism. clean_spill: Action node - Continue cleaning the spill. check_cleanliness: Condition node - Check if the spill has been completely cleaned. stay_in_place: Action node - Stay in the current location until the spill is cleaned completely.,"If oil spill is detected, deploy cleaning mechanism and remain in that location until spill is completely cleaned.","
<BehaviorTree>
<Selector>
<Sequence>
<Condition>detect_oil_spill</Condition>
<Action>deploy_mechanism</Action>
<Selector>
<Sequence>
<Condition>check_cleanliness</Condition>
<Action>stay_in_place</Action>
<Action>clean_spill</Action>
</Sequence>
<Action>clean_spill</Action>
</Selector>
</Sequence>
<Action>stay_in_place</Action>
</Selector>
</BehaviorTree>"
perform a coordinated mapping mission with other robots in the swarm.,Use the following behaviors to generate XML Behavior tree based on the user command: take_off: Action node - Initiate the mapping mission by taking off. map_area: Action node - Map the designated area. synchronize_maps: Action node - Synchronize the maps from all robots in the group. return_to_base: Action node - Return to base with the completed map.,Coordinated mapping mission with other robots in the swarm.,"
<BehaviorTree>
<Sequence>
<Action>take_off</Action>
<Selector>
<Sequence>
<Condition>detect_target</Condition>
<Action>map_area</Action>
<Action>synchronize_maps</Action>
<Action>return_to_base</Action>
</Sequence>
<Action>map_area</Action>
</Selector>
</Sequence>
</BehaviorTree>"
"follow designated route, but if route is blocked, find an alternative route.","Use only the following behaviors to generate XML Behavior tree based on the user command: {follow_route: 'Action node: Follow the designated route.
Returns: Always returns True, indicating the action was executed.', check_blockage: 'Condition node: Check if the designated route is blocked.
Returns: True if route is blocked, otherwise False.', find_alternative_route: 'Action node: Find an alternate route.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.","Follow designated route, but if route is blocked, find an alternative route.","
<BehaviorTree>
<Selector>
<Sequence>
<Condition>check_blockage</Condition>
<Action>find_alternative_route</Action>
<Action>follow_route</Action>
</Sequence>
<Action>follow_route</Action>
</Selector>
</BehaviorTree>"
"while exploring, constantly communicate with other robots in the swarm to share discovered information.","Use only the following behaviors to generate XML Behavior tree based on the user command: {explore: 'Action node: Explore the surrounding area.
Returns: Always returns True, indicating the action was executed.', communicate: 'Action node: Communicate with other robots to share information.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.","While exploring, constantly communicate with other robots in the swarm to share discovered information.","
<BehaviorTree>
<Sequence>
<Action>explore</Action>
<Action>communicate</Action>
</Sequence>
</BehaviorTree>"
perform a coordinated search and destroy mission with other robots in the swarm.,Use the following behaviors to generate XML Behavior tree based on the user command: take_off: Action node - Initiate the search mission by taking off. search_area: Action node - Search the designated area for the target. detect_target: Condition node - Check if the target has been found. destroy_target: Action node - Destroy the target once found. return_to_base: Action node - Return to base with the completed mission.,Coordinated search and destroy mission with other robots in the swarm.,"
<BehaviorTree>
<Sequence>
<Action>take_off</Action>
<Selector>
<Sequence>
<Condition>detect_target</Condition>
<Action>destroy_target</Action>
<Action>return_to_base</Action>
</Sequence>
<Action>search_area</Action>
</Selector>
</Sequence>
</BehaviorTree>"
"if communication with other robots is lost, search for and reestablish communication.","Use only the following behaviors to generate XML Behavior tree based on the user command: {search: 'Action node: Search for the other robots.
Returns: Always returns True, indicating the action was executed.', reestablish_communication: 'Action node: Retrieve and reestablish communication with the other robots.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.","If communication with other robots is lost, search for and reestablish communication.","
<BehaviorTree>
<Sequence>
<Action>search</Action>
<Action>reestablish_communication</Action>
</Sequence>
</BehaviorTree>"
"constantly monitor for any changes in the environment, adjust behaviors accordingly.","Use only the following behaviors to generate XML Behavior tree based on the user command: {monitor: 'Action node: Monitor the environment for changes.
Returns: Always returns True, indicating the action was executed.', adjust_behavior: 'Action node: Adjust behaviors based on changes in the environment.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.","Constantly monitor for any changes in the environment, adjust behaviors accordingly.","
<BehaviorTree>
<Sequence>
<Action>monitor</Action>
<Action>adjust_behavior</Action>
</Sequence>
</BehaviorTree>"
